time,ia,ib,ic,va,vb,vc,theta_e,vn,legRdsA,legRdsB,legRdsC,VinvA,VinvB,VinvC
0.08215,-22.836064467294786,22.836064485936326,-1.864153584880142e-08,0.2283606446729479,23.771639355140636,12.932076792440071,4.040088152516111,12.310692264084517,0.01,0.01,50000000.0,0.0,24.0,12.0
0.08220000000000001,-22.849539506411393,22.84953952507011,-1.8658714497076593e-08,0.22849539506411393,23.7715046047493,12.932935724853829,4.04637133782329,12.310978574889115,0.01,0.01,50000000.0,0.0,24.0,12.0
0.08225,-22.86284455765976,22.86284457633492,-1.8675156531250035e-08,0.2286284455765976,23.77137155423665,12.933757826562502,4.052654523130469,12.311252608791944,0.01,0.01,50000000.0,0.0,24.0,12.0
0.0823,-22.87598399008987,22.875984008780733,-1.8690861302220344e-08,0.22875983990089874,23.771240159912193,12.934543065111017,4.058937708437648,12.311514354974715,0.01,0.01,50000000.0,0.0,24.0,12.0
0.08235,-22.888962057588536,22.888962076294362,-1.870582818999144e-08,0.22888962057588538,23.771110379237058,12.935291409499571,4.0652208937448275,12.311763803104206,0.01,0.01,50000000.0,0.0,24.0,12.0
0.0824,-22.901782901737658,22.90178292045771,-1.8720056603694063e-08,0.22901782901737658,23.770982170795424,12.936002830184703,4.071504079052007,12.312000943332523,0.01,0.01,50000000.0,0.0,24.0,12.0
0.08245000000000001,-22.914450554601704,22.914450573335255,-1.8733545981613514e-08,0.22914450554601704,23.770855494266648,12.936677299080676,4.077787264359186,12.312225766297713,0.01,0.01,50000000.0,0.0,24.0,12.0
0.0825,-22.926968941446138,22.926968960192436,-1.8746295791220708e-08,0.22926968941446138,23.770730310398076,12.937314789561036,4.084070449666365,12.312438263124571,0.01,0.01,50000000.0,0.0,24.0,12.0
0.08255,-22.93934188338846,22.93934190214677,-1.8758305529164858e-08,0.22939341883388464,23.770606580978534,12.937915276458243,4.090353634973544,12.31263842542358,0.01,0.01,50000000.0,0.0,24.0,12.0
0.0826,-22.951573099983655,22.951573118753227,-1.8769574721326933e-08,0.22951573099983658,23.770484268812467,12.938478736066347,4.0966368202807235,12.31282624529292,0.01,0.01,50000000.0,0.0,24.0,12.0
0.08265,-22.96366621174555,22.96366623052565,-1.8780102922816012e-08,0.2296366621174555,23.770363337694743,12.9390051461408,4.102920005587903,12.313001715317657,0.01,0.01,50000000.0,0.0,24.0,12.0
0.08270000000000001,-22.97562474260576,22.975624761395654,-1.878988971799855e-08,0.22975624742605763,23.770243752386044,12.939494485899928,4.109203190895082,12.313164828570626,0.01,0.01,50000000.0,0.0,24.0,12.0
0.08275,-22.987452122311776,22.987452141110712,-1.8798934720511425e-08,0.22987452122311774,23.77012547858889,12.939946736025572,4.115486376202261,12.313315578612535,0.01,0.01,50000000.0,0.0,24.0,12.0
0.0828,-22.999151688765608,22.999151707572842,-1.8807237573268604e-08,0.2299915168876561,23.770008482924272,12.94036187866343,4.12176956150944,12.31345395949179,0.01,0.01,50000000.0,0.0,24.0,12.0
0.08285000000000001,-23.010726690304605,23.010726709119407,-1.8814797948487862e-08,0.23010726690304603,23.769892732908804,12.940739897424393,4.1280527468166195,12.313579965745358,0.01,0.01,50000000.0,0.0,24.0,12.0
0.0829,-23.0221802879258,23.02218030674742,-1.8821615547704617e-08,0.230221802879258,23.769778196932524,12.941080777385231,4.134335932123799,12.313693592399035,0.01,0.01,50000000.0,0.0,24.0,12.0
0.08295000000000001,-23.033515557455186,23.033515576282873,-1.882769010176439e-08,0.23033515557455184,23.76966484423717,12.94138450508822,4.140619117430978,12.313794834966668,0.01,0.01,50000000.0,0.0,24.0,12.0
0.083,-23.044735491663307,23.04473551049633,-1.8833021370855612e-08,0.23044735491663307,23.769552644895036,12.94165106854278,4.146902302738157,12.313883689451442,0.01,0.01,50000000.0,0.0,24.0,12.0
0.08305,-23.055843002328555,23.055843021166165,-1.8837609144514135e-08,0.23055843002328555,23.769441569788338,12.941880457225707,4.153185488045336,12.3139601523458,0.01,0.01,50000000.0,0.0,24.0,12.0
